Código CCN,Código CNH,Nombre,Comunidad Autónoma,Provincia,Municipio,Dirección,Código Postal,Teléfono,Número de camas instaladas,Tipo de Centro,Dependencia Funcional,Observaciones,Concierto,Acreditación Docente
0250000071,500016,HOSPITAL CLINICO UNIVERSITARIO LOZANO BLESA,Aragón,Zaragoza,Zaragoza,CALLE SAN JUAN BOSCO 15,50009,976765700,803,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0250000082,500153,HOSPITAL ERNEST LLUCH MARTIN,Aragón,Zaragoza,Calatayud,CARRETERA SAGUNTO BURGOS KM 254,50300,976880964,122,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0250000083,500074,HOSPITAL NUESTRA SEÑORA DE GRACIA,Aragón,Zaragoza,Zaragoza,CALLE RAMON Y  CAJAL 60,50004,976440022,145,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0250000085,500172,UNIDAD DE REHABILITACION DE LARGA ESTANCIA,Aragón,Zaragoza,Sádaba,CARRETERA SOS S/N,50670,976675479,46,Hospitales de salud mental y tratamiento de toxicomanías,Organizaciones No Gubernamentales,,Sin concierto,NO
0250000086,500195,HOSPITAL DE REHABILITACION PSIQUIATRICA PRISMA,Aragón,Zaragoza,Zaragoza,CALLE TORRE DEL CEREZO (SAN JUAN DE MOZARRIFAR) 17,50820,976151152,44,Hospitales de salud mental y tratamiento de toxicomanías,Privados,,Sin concierto,NO
0250000087,500080,HOSPITAL MAZ,Aragón,Zaragoza,Zaragoza,AVENIDA ACADEMIA GENERAL MILITAR 74,50015,976748000,75,Hospitales Generales,Mútuas Colaboradoras con La Seguridad Social,,Sin concierto,NO
0250000091,500218,HOSPITAL VIAMED MONTECANAL,Aragón,Zaragoza,Zaragoza,CALLE FRANZ SCHUBERT 2,50012,876241818,68,Hospitales Generales,Privados,,Concierto parcial,NO
0250000095,500200,CENTRO SANITARIO CINCO VILLAS,Aragón,Zaragoza,Ejea de los Caballeros,CALLE ANTONIO MACHADO 15,50009,976765700,17,Otros Centros con Internamiento,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,NO
0250004610,500140,HOSPITAL GENERAL DE LA DEFENSA EN ZARAGOZA,Aragón,Zaragoza,Zaragoza,CALLE VIA IBERICA 1-15 1-15,50009,976567710,206,Hospitales Generales,Ministerio de Defensa,,Concierto sustitutorio,NO
0250005838,500223,HOSPITAL HERNAN CORTES MIRAFLORES,Aragón,Zaragoza,Zaragoza,CAMINO TORRES (DE LAS) 51-53,50008,976222981,36,Hospitales Generales,Privados,,Sin concierto,NO
0333000032,330321,CENTRO SALUD MENTAL PEREZ ESPINOSA,Ppdo. de Asturias,Asturias,Llanera,CALLE SANTA ROSA 6,33690,985771677,35,Hospitales de salud mental y tratamiento de toxicomanías,Privados,,Sin concierto,NO
0333000265,330376,INSTITUTO OFTALMOLOGICO FERNANDEZ-VEGA,Ppdo. de Asturias,Asturias,Oviedo,AVENIDA DRES. FERNANDEZ VEGA 34,33012,985240141;985241508,13,Hospitales especializados,Privados,,Sin concierto,NO
0333000848,330254,FUNDACION SANATORIO ADARO,Ppdo. de Asturias,Asturias,Langreo,CALLE JOVE Y CANELLA 1,33900,985692111,153,Hospitales de media y larga estancia,Privados,,Red de utilización pública (RUP),NO
0333001050,330138,HOSPITAL CARMEN Y SEVERO OCHOA,Ppdo. de Asturias,Asturias,Cangas del Narcea,CALLE SIENRA 11,33800,985812346,103,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0333001052,330241,HOSPITAL VALLE DEL NALON,Ppdo. de Asturias,Asturias,Langreo,POLIGONO DE RIAÑO S/N,33920,985652000,216,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0333001472,330045,HOSPITAL MONTE NARANCO,Ppdo. de Asturias,Asturias,Oviedo,AVENIDA DOCTORES FENANDEZ VEGA S/N,33012,985106900,194,Hospitales de media y larga estancia,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0333002321,330313,HOSPITAL DE LUARCA,Ppdo. de Asturias,Asturias,Valdés,CALLE VILLAR S/N,33700,985470707;985470727,19,Otros Centros con Internamiento,Privados,,Sin concierto,NO
0333002526,330208,HOSPITAL  BEGOÑA,Ppdo. de Asturias,Asturias,Gijón,AVENIDA PABLO IGLESIAS 92,33204,985367711,41,Hospitales Generales,Privados,,Sin concierto,NO
0333002562,330077,CLINICA ASTURIAS,Ppdo. de Asturias,Asturias,Oviedo,CALLE NARANJO DE BULNES 4-6,33012,985286000,46,Hospitales Generales,Privados,,Concierto parcial,NO
0333002574,330306,HOSPITAL DEL ORIENTE DE ASTURIAS FRANCISCO GRANDE COVIAN,Ppdo. de Asturias,Asturias,Parres,URBANIZACION CASTAÑERA S/N,33540,985840032,90,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0333002581,330332,CLINICA PSIQUIATRICA SOMIO,Ppdo. de Asturias,Asturias,Gijón,"CARRETERA LA PROVIDENCIA-INFANZON, 3518 3518",33203,985133806,40,Hospitales de salud mental y tratamiento de toxicomanías,Privados,,Sin concierto,NO
0333002620,330096,CLINICA SAN RAFAEL,Ppdo. de Asturias,Asturias,Oviedo,"CALLE LA ESTRECHA, 33",33011,985282526,36,Hospitales de salud mental y tratamiento de toxicomanías,Privados,,Concierto parcial,NO
0333002775,330169,HOSPITAL CRUZ ROJA GIJON,Ppdo. de Asturias,Asturias,Gijón,CALLE URIA 37,33202,985195000,120,Hospitales Generales,Privados,,Sin concierto,NO
0333002776,330194,HOSPITAL DE JOVE,Ppdo. de Asturias,Asturias,Gijón,AVENIDA EDUARDO CASTRO S/N,33290,985320050,233,Hospitales Generales,Privados,,Concierto sustitutorio,SI
0333002777,330100,HOSPITAL UNIVERSITARIO SAN AGUSTIN,Ppdo. de Asturias,Asturias,Avilés,CAMINO DE HEROS 6,33401,985123000,436,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Red de utilización pública (RUP),SI
0333002780,330156,HOSPITAL UNIVERSITARIO DE CABUEÑES,Ppdo. de Asturias,Asturias,Gijón,CALLE LOS PRADOS 395,33203,985185000;985185004,457,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0333002781,330175,HOSPITAL RIBERA COVADONGA,Ppdo. de Asturias,Asturias,Gijón,CALLE GENERAL SUAREZ VALDES 40,33204,985365122,24,Hospitales Generales,Privados,,Sin concierto,NO
0333003295,330365,CENTRO TERAPEUTICO VISTA ALEGRE,Ppdo. de Asturias,Asturias,Gijón,CALLE PROFESOR PEREZ PIMENTEL (LA GUIA - SOMIO) 518,33203,985363435;985771677,28,Hospitales de salud mental y tratamiento de toxicomanías,Privados,,Sin concierto,NO
0333003415,330061,CENTRO MEDICO DE ASTURIAS,Ppdo. de Asturias,Asturias,Oviedo,AVENIDA RICHARD GRANDIO S/N,33193,985250300,105,Hospitales Generales,Privados,,Sin concierto,NO
0333003421,330117,FUNDACION HOSPITAL DE AVILES,Ppdo. de Asturias,Asturias,Avilés,CALLE CABRUÑANA 19,33402,627513515;985525744,90,Hospitales especializados,Privados,,Red de utilización pública (RUP),SI
0333004419,330143,HOSPITAL DE JARRIO,Ppdo. de Asturias,Asturias,Coaña,CARRETERA DE JARRIO S/N,33719,985639300,116,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0333005233,330354,HOSPITAL GIJON,Ppdo. de Asturias,Asturias,Gijón,AVENIDA DE LA COSTA 45,33201,985360612;985360613,32,Hospitales de media y larga estancia,Privados,,Sin concierto,NO
0333005240,330292,HOSPITAL UNIVERSITARIO CENTRAL DE ASTURIAS,Ppdo. de Asturias,Asturias,Oviedo,AVENIDA DE ROMA S/N,33011,985108000,991,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0333005582,330325,HOSPITAL VITAL ALVAREZ BUYLLA,Ppdo. de Asturias,Asturias,Mieres,CALLE VISTALEGRE 2,33619,985458500,176,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0333005595,330322,CTI DE LA CORREDORIA,Ppdo. de Asturias,Asturias,Oviedo,CALLE MOLIN LOS CANALES S/N,33011,985292360,22,Otros Centros con Internamiento,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,NO
0333005968,330409,CENTRO DE TRATAMIENTO INTEGRAL MONTEVIL,Ppdo. de Asturias,Asturias,Gijón,CALLE ALAVA 67,33210,985142483,21,Otros Centros con Internamiento,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,NO
0407000001,070309,HOSPITAL  DE MANACOR,Illes Balears,Illes Balears,Manacor,CARRETERA MANACOR - ALCUDIA S/N,07500,971847000,224,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0407000002,070048,HOSPITAL GENERAL DE MALLORCA,Illes Balears,Illes Balears,Palma,PLAZA HOSPITAL 3,07012,871205000,87,Hospitales de media y larga estancia,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,NO
0407000003,070260,HOSPITAL JUANEDA MURO,Illes Balears,Illes Balears,Muro,CALLE VELER S/N,07459,971891900,86,Hospitales Generales,Privados,,Concierto parcial,NO
0407000004,070099,CLINICA ROTGER,Illes Balears,Illes Balears,Palma,CALLE SANTIAGO RUSSINYOL 9,07012,971448500,193,Hospitales Generales,Privados,,Sin concierto,NO
0407000005,070086,HOSPITAL SANT JOAN DE DEU,Illes Balears,Illes Balears,Palma,CALLE SANT JOAN DE DEU 7,07007,971265854,197,Hospitales de media y larga estancia,Privados,,Concierto parcial,SI
0407000006,070295,CLINICA JUANEDA MAHON,Illes Balears,Illes Balears,Maó-Mahón,AVENIDA VIVES LLULL 6,07703,971351115,18,Hospitales Generales,Privados,,Concierto parcial,NO
0407000008,070110,CLINICA JUANEDA,Illes Balears,Illes Balears,Palma,CALLE COMPANY 30,07014,971731647,191,Hospitales Generales,Privados,,Sin concierto,SI
0407000009,070131,JUANEDA,Illes Balears,Illes Balears,Palma,CALLE CAMI DE LA VILETA 30,07011,971767000,197,Hospitales Generales,Privados,,Concierto parcial,NO
0407000010,070184,HOSPITAL CAN MISSES,Illes Balears,Illes Balears,Eivissa,CALLE CORONA S/N,07800,971397000,382,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0407000011,070064,MUTUA BALEAR,Illes Balears,Illes Balears,Palma,CALLE BISBE CAMPINS 4,07012,971213400,40,Hospitales Generales,Mútuas Colaboradoras con La Seguridad Social,,Sin concierto,SI
0407000216,070051,HOSPITAL PSIQUIATRIC,Illes Balears,Illes Balears,Palma,CALLE CAMI DE JESUS 40,07010,871205000,168,Hospitales de salud mental y tratamiento de toxicomanías,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,NO
0407000218,070162,HOSPITAL JOAN MARCH,Illes Balears,Illes Balears,Bunyola,CARRETERA PALMA-SOLLER KM. 12,07110,871202000,106,Hospitales de media y larga estancia,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0407000411,070377,HOSPITAL COMARCAL D´INCA,Illes Balears,Illes Balears,Inca,CARRETERA VELLA DE LLUBI S/N,07300,971888514,173,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Concierto sustitutorio,SI
0407000423,070388,HOSPITAL MATEU ORFILA,Illes Balears,Illes Balears,Maó-Mahón,RONDA MALBUGER 1,07703,971487000,142,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0407000872,070399,HOSPITAL UNIVERSITARI SON ESPASES,Illes Balears,Illes Balears,Palma,CARRETERA VALLDEMOSSA 79,07120,871205000,886,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0407001219,070201,POLICLINICA NUESTRA SRA. DEL ROSARIO,Illes Balears,Illes Balears,Eivissa,VIA ROMANA S/N,07800,971301916,68,Hospitales Generales,Privados,,Concierto parcial,NO
0407001223,070070,HOSPITAL DE LA CREU ROJA ESPANYOLA,Illes Balears,Illes Balears,Palma,CALLE PONS I GALLARZA 90,07004,971751445,71,Hospitales de media y larga estancia,Privados,,Concierto parcial,NO
0407001617,070333,HOSPITAL SON LLATZER,Illes Balears,Illes Balears,Palma,CARRETERA MANACOR KM. 4,07198,871202000,423,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0407001618,070344,HOSPITAL QUIRONSALUD PALMAPLANAS,Illes Balears,Illes Balears,Palma,CALLE CAMI DELS REIS 308,07010,971918000,169,Hospitales Generales,Privados,,Concierto parcial,NO
0407001619,070366,HOSPITAL DE FORMENTERA,Illes Balears,Illes Balears,Formentera,CALLE VENDA DES BROLLS S/N,07860,971321212,13,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,NO
0407001647,070412,HOSPITAL DE LLEVANT,Illes Balears,Illes Balears,Manacor,CALLE ESCAMARLA 6,07680,971822400,70,Hospitales Generales,Privados,,Concierto parcial,NO
0407001688,070423,HOSPITAL QUIRONSALUD SON VERI,Illes Balears,Illes Balears,Llucmajor,PASEO ARBREDA S/N,07609,971443030,34,Hospitales Generales,Privados,,Concierto parcial,NO
0407003152,070434,CLINICA LUZ DE PALMA,Illes Balears,Illes Balears,Palma,CALLE CAMILO JOSE CELA 20,07014,971599167,19,Hospitales Generales,Privados,,Sin concierto,NO
0407003804,070445,HOSPITAL SANT JOAN DE DEU INCA,Illes Balears,Illes Balears,Inca,AVENIDA JAUME II 44,07300,097126585,80,Hospitales especializados,Privados,,Concierto parcial,NO
0407004406,070456,CLINICA JUANEDA CIUTADELLA,Illes Balears,Illes Balears,Ciutadella de Menorca,CARRETERA CARRETERA CIUTADELLA - SA CALETA 31,07760,971480508,55,Hospitales Generales,Privados,,Sin concierto,NO
0535000315,350167,CLINICA CAJAL,Canarias,Las Palmas,"Palmas de Gran Canaria, Las",CALLE SENADOR CASTILLO OLIVARES 15,35003,928369166,136,Hospitales Generales,Privados,,Concierto parcial,NO
0535000319,350287,HOSPITAL CIUDAD DE TELDE,Canarias,Las Palmas,Telde,CALLE MISTER BLISSE S/N,35212,616953244;928707555,154,Hospitales Generales,Privados,,Sin concierto.,NO
0535000320,350154,HOSPITAL LA PALOMA,Canarias,Las Palmas,"Palmas de Gran Canaria, Las",CALLE MAESTRO VALLE 20,35005,687910445;928234466,109,Hospitales Generales,Privados,,Concierto parcial,NO
0535000321,350206,HOSPITAL UNIVERSITARIO PERPETUO SOCORRO,Canarias,Las Palmas,"Palmas de Gran Canaria, Las",CALLE LEON Y CASTILLO 407,35007,928499900,195,Hospitales Generales,Privados,,Concierto parcial,SI
0535000322,350304,HOSPITEN CLINICA ROCA SAN AGUSTIN,Canarias,Las Palmas,San Bartolomé de Tirajana,CALLE BUGANVILLA 1,35100,928769004,81,Hospitales Generales,Privados,,Concierto parcial,NO
0535000323,350115,HOSPITAL SAN JOSE,Canarias,Las Palmas,"Palmas de Gran Canaria, Las",CALLE PADRE CUETO 26,35008,928263708,66,Hospitales Generales,Privados,,Concierto parcial,NO
0535000324,350120,HOSPITAL UNIVERSITARIO VITHAS LAS PALMAS,Canarias,Las Palmas,"Palmas de Gran Canaria, Las",CALLE LEON Y CASTILLO 292,35005,928297151,157,Hospitales Generales,Privados,,Concierto parcial,SI
0535000463,350326,HOSPITEN LANZAROTE,Canarias,Las Palmas,Tías,CAMINO LOMO GORDO S/N,35572,928596100,61,Hospitales Generales,Privados,,Concierto parcial,NO
0535000688,350265,QUINTA MEDICA DE REPOSO,Canarias,Las Palmas,Santa Brígida,CAMINO PALMA ROMERO 7,35300,928640050,60,Hospitales de salud mental y tratamiento de toxicomanías,Privados,,Red de utilización pública (RUP),SI
0535001243,350367,HOSPITAL UNIVERSITARIO SAN ROQUE MASPALOMAS,Canarias,Las Palmas,San Bartolomé de Tirajana,CALLE MAR DE SIBERIA 1,35100,928063615,147,Hospitales Generales,Privados,,Concierto parcial,SI
0535001314,350173,HOSPITAL UNIVERSITARIO SAN ROQUE LAS PALMAS,Canarias,Las Palmas,"Palmas de Gran Canaria, Las",CALLE DOLORES DE LA ROCHA 5,35001,928404040,162,Hospitales Generales,Privados,,Concierto parcial,SI
0535001524,350389,HOSPITAL PARQUE FUERTEVENTURA,Canarias,Las Palmas,Puerto del Rosario,CALLE LEON Y CASTILLO S/N,35600,928851500,22,Otros Centros con Internamiento,Privados,,Sin concierto,NO
0535001550,350192,CLINICA BANDAMA,Canarias,Las Palmas,"Palmas de Gran Canaria, Las",CALLE SANTA TERESA 9,35017,928350050;928350054,64,Hospitales de salud mental y tratamiento de toxicomanías,Privados,,Red de utilización pública (RUP),SI
0535001830,350311,HOSPITAL UNIVERSITARIO DE GRAN CANARIA DR. NEGRIN,Canarias,Las Palmas,"Palmas de Gran Canaria, Las",PLAZA BARRANCO DE LA BALLENA S/N,35012,928450000,652,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0535001838,350290,COMPLEJO HOSPITALARIO UNIVERSITARIO INSULAR MATERNO INFANTIL,Canarias,Las Palmas,"Palmas de Gran Canaria, Las",CALLE AUTOVIA DEL SUR S/N,35016,928444000,916,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0535001908,350252,HOSPITAL GENERAL DE FUERTEVENTURA,Canarias,Las Palmas,Puerto del Rosario,CALLE CARRETERA AEROPUERTO KM 1,35600,928862000,131,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0535002243,350228,HOSPITAL UNIVERSITARIO DR. JOSE MOLINA OROSA,Canarias,Las Palmas,Arrecife,CALLE CARRETERA ARRECIFE- TINAJO KM 1300 0,35500,928595000,252,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0535003839,350271,HOSPITAL SAN ROQUE DE GUIA,Canarias,Las Palmas,Santa María de Guía de Gran Canaria,LUGAR DISEMINADO CUESTA DE CARABALLO 11,35450,928896500,54,Hospitales de media y larga estancia,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0535003845,350069,HOSPITAL UNIVERSITARIO DE SALUD MENTAL JUAN CARLOS I,Canarias,Las Palmas,"Palmas de Gran Canaria, Las",CALLE REAL DEL CASTILLO 152,35014,928302734,119,Hospitales de salud mental y tratamiento de toxicomanías,Otros Centros o Establecimientos Públicos de Dependencia Autonómica,,Sin concierto.,NO
0535003934,350249,HOSPITAL INSULAR DE LANZAROTE,Canarias,Las Palmas,Arrecife,CALLE JUAN DE QUESADA S/N,35500,928810000,80,Hospitales de media y larga estancia,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0535004296,350401,CENTRO SANITARIO RESIDENCIAL LAS PALMAS (CESAR LAS PALMAS),Canarias,Las Palmas,"Palmas de Gran Canaria, Las",CALLE PARROCO VILLAR REINA 1,35011,928296300,52,Hospitales de media y larga estancia,Privados,,Sin concierto,NO
0535004342,350402,HOSPITAL POLIVALENTE ANEXO JUAN CARLOS I,Canarias,Las Palmas,"Palmas de Gran Canaria, Las",CALLE REAL DEL CASTILLO 152,35014,928450177,54,Hospitales de media y larga estancia,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0538000115,380201,HOSPITAL QUIRONSALUD VIDA,Canarias,Santa Cruz De Tenerife,"Orotava, La",CALLE MAGNOLIAS 2,38312,922330550,24,Hospitales Generales,Privados,,Sin concierto,NO
0538000116,380103,HOSPITAL PARQUE,Canarias,Santa Cruz De Tenerife,Santa Cruz de Tenerife,CALLE MENDEZ NUÑEZ 40-44,38003,922274400,67,Hospitales Generales,Privados,,Concierto parcial,NO
0538000118,380359,CLINICA TARA,Canarias,Santa Cruz De Tenerife,Tacoronte,CALLE CASAS ALTAS S/N,38399,922563351,12,Otros Centros con Internamiento,Privados,,Concierto parcial,NO
0538000120,380282,HOSPITAL QUIRON SALUD COSTA ADEJE,Canarias,Santa Cruz De Tenerife,Adeje,URBANIZACION SAN EUGENIO S/N,38660,922752626,62,Hospitales Generales,Privados,,Sin concierto,NO
0538000121,380146,HOSPITAL UNIVERSITARIO HOSPITEN SUR,Canarias,Santa Cruz De Tenerife,Arona,CALLE AV. MARITIMA 8,38660,922750032,242,Hospitales Generales,Privados,,Red de utilización pública (RUP),SI
0538000126,380223,HOSPITAL UNIVERSITARIO HOSPITEN BELLEVUE,Canarias,Santa Cruz De Tenerife,Puerto de la Cruz,CALLE ALEMANIA 4,38400,922368822;922383551,199,Hospitales Generales,Privados,,Concierto parcial,SI
0538000130,380099,VITHAS HOSPITAL SANTA CRUZ,Canarias,Santa Cruz De Tenerife,Santa Cruz de Tenerife,CALLE ENRIQUE WOLFSON 8,38006,922534733,62,Hospitales Generales,Privados,,Sin concierto,NO
0538000373,380295,HOSPITAL UNIVERSITARIO HOSPITEN RAMBLA,Canarias,Santa Cruz De Tenerife,Santa Cruz de Tenerife,RAMBLA SANTA CRUZ 115,38001,922291600,97,Hospitales Generales,Privados,,Concierto parcial,SI
0538000536,380086,HOSPITAL QUIRON SALUD TENERIFE,Canarias,Santa Cruz De Tenerife,Santa Cruz de Tenerife,CALLE POETA RODRIGUEZ HERRERA 1,38006,922270700,176,Hospitales Generales,Privados,,Concierto parcial,SI
0538001244,380064,HOSPITAL SAN JUAN DE DIOS TENERIFE,Canarias,Santa Cruz De Tenerife,Santa Cruz de Tenerife,CARRETERA SANTA CRUZ LAGUNA 53,38009,922645511,141,Hospitales Generales,Organizaciones No Gubernamentales,,Concierto parcial,SI
0538001821,380178,HOSPITAL UNIVERSITARIO DE CANARIAS,Canarias,Santa Cruz De Tenerife,San Cristóbal de La Laguna,CARRETERA CUESTA TACO S/N,38320,922678000,681,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0538001932,380027,HOSPITAL UNIVERSITARIO NUESTRA SEÑORA DE CANDELARIA,Canarias,Santa Cruz De Tenerife,Santa Cruz de Tenerife,CARRETERA DEL ROSARIO 145,38010,922602000,839,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0538002288,380276,HOSPITAL INSULAR NUESTRA SEÑORA DE LOS REYES,Canarias,Santa Cruz De Tenerife,Valverde,CALLE CALLE LOS BARRIALES 1,38900,922 553 505;922553505,32,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,NO
0538002289,380244,HOSPITAL NUESTRA SEÑORA DE GUADALUPE,Canarias,Santa Cruz De Tenerife,San Sebastián de la Gomera,CALLE LANGRERO S/N,38800,922140219,40,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,NO
0538002290,380316,HOSPITAL UNIVERSITARIO GENERAL DE LA PALMA,Canarias,Santa Cruz De Tenerife,Breña Alta,CARRETERA CUMBRE (DE LA) 28,38713,922185000,198,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,NO
0538002380,380348,HOSPITAL DEL SUR,Canarias,Santa Cruz De Tenerife,Arona,CARRETERA TF-28 21,38652,922174740,98,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0538002381,380337,HOSPITAL DEL NORTE,Canarias,Santa Cruz De Tenerife,Icod de los Vinos,CALLE GAVIOTAS (LAS) 22,38437,922 678 061;922678061,51,Hospitales de media y larga estancia,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0538004230,380033,HOSPITAL DE OFRA,Canarias,Santa Cruz De Tenerife,Santa Cruz de Tenerife,CALLE SANTA MARIA SOLEDAD 28,38010,922602000,63,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0538004244,380048,UNIDADES CLINICAS Y DE REHABILITACION DE SALUD MENTAL,Canarias,Santa Cruz De Tenerife,Santa Cruz de Tenerife,CALLE DOMINGO J MANRIQUE 2,38006,922678000,94,Hospitales de salud mental y tratamiento de toxicomanías,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0538004740,380361,CENTRO ASISTENCIAL POLIVALENTE UAAN,Canarias,Santa Cruz De Tenerife,Santa Cruz de Tenerife,CARRETERA ROSARIO (DEL) 145,38010,618797024;922602370,74,Otros Centros con Internamiento,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,NO
0639000197,390015,HOSPITAL UNIVERSITARIO MARQUES DE VALDECILLA,Cantabria,Cantabria,Santander,AVENIDA VALDECILLA 25,39008,942202520;942202560,923,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0639000455,390152,HOSPITAL MOMPIA,Cantabria,Cantabria,Santa Cruz de Bezana,AVENIDA DE LOS CONDES S/N,39108,942584100;942584114,105,Hospitales Generales,Privados,,Sin concierto,NO
0639000456,390134,HOSPITAL COMARCAL DE LAREDO,Cantabria,Cantabria,Laredo,AVENIDA DERECHOS HUMANOS S/N,39770,942638500;942638502,131,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0639000462,390054,HOSPITAL SANTA CLOTILDE,Cantabria,Cantabria,Santander,CALLE GENERAL DAVILA 35 BAJO,39006,942211678;942217711,127,Hospitales de media y larga estancia,Privados,,Concierto parcial,NO
0639000883,390041,HOSPITAL MUTUA MONTAÑESA,Cantabria,Cantabria,Santander,AVENIDA DEL FARO-PINTOR EDUARDO SANZ 19 BAJO,39012,942204100,30,Hospitales especializados,Mútuas Colaboradoras con La Seguridad Social,,Sin concierto,NO
0639000989,390149,HOSPITAL SIERRALLANA,Cantabria,Cantabria,Torrelavega,BARRIO GANZO S/N,39300,942847400,301,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0639001300,390067,CENTRO HOSPITALARIO PADRE MENNI,Cantabria,Cantabria,Santander,AVENIDA CANTABRIA 52,39012,942390060;942391260,65,Hospitales de salud mental y tratamiento de toxicomanías,Privados,,Red de utilización pública (RUP),NO
0705000769,050013,HOSPITAL NUESTRA SEÑORA DE SONSOLES,Castilla y León,Ávila,Ávila,"AVENIDA DE JUAN CARLOS I, S/N S/N",05071,920358000,321,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0705000770,050049,HOSPITAL SANTA TERESA,Castilla y León,Ávila,Ávila,AVENIDA SANTA CRUZ DE TENERIFE 11,05005,920252525,33,Hospitales Generales,Privados,,Concierto parcial,NO
0705000771,050034,HOSPITAL PROVINCIAL DE AVILA,Castilla y León,Ávila,Ávila,"CALLE JESUS DEL GRAN PODER, 42",05003,920357200,119,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0705001823,050072,HOSPITAL DE SALUD MENTAL CASTA SALUD AREVALO,Castilla y León,Ávila,Arévalo,"PASEO SAN JUAN BOSCO, 2",05200,920301400,80,Hospitales de salud mental y tratamiento de toxicomanías,Privados,,Sin concierto,NO
0709001369,090079,HOSPITAL SANTOS REYES,Castilla y León,Burgos,Aranda de Duero,AVENIDA RUPERTA BARAYA 6,09400,947522000,127,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,NO
